score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;F71B16000470001;E 78, S.G.C. GROSSETO FANO;Infrastrutture / parcheggi;MARCHE;PESARO E URBINO;MERCATELLO SUL METAURO;40000000.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F71B16000470001
100;F93J04000070002;INTERVENTI URGENTI PER LA TUTELA E LA CONSERVAZIONE DELLE PRATERIE E DEI PASCOLI SU SUBSTRATO CALCAREO;Ambiente / rifiuti / depurazione;TOSCANA;GROSSETO;ARCIDOSSO;40000000.0;COMUNITA' MONTANA DEL MONTE AMIATA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/F93J04000070002
100;F21B23000110001;S.S. 78 AMANDOLA - MOZZANO LAVORI DI ADEGUAMENTO E/O MIGLIORAMENTO TECNICO FUNZIONALE - DA COMUNANZA AD AMANDOLA - 2° STRALCIO;Infrastrutture / parcheggi;MARCHE;ASCOLI PICENO;COMUNANZA;40000000.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F21B23000110001
100;J31I22000510001;PORTO DI ANCONA;Riqualificazione urbana;MARCHE;ANCONA;ANCONA;40000000.0;AUTORITA' DI SISTEMA PORTUALE DEL MARE ADRIATICO CENTRALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J31I22000510001
100;G82D22002880005;ACCORDO QUADRO PER L'AFFIDAMENTO DI INTERVENTI DI MANUTENZIONE ORDINARIA, STRAORDINARIA E RIQUALIFICAZIONE SUGLI IMMOBILI DI PROPRIETA' E/O IN GESTIONE ATER DEL COMUNE DI ROMA DIVISO IN N. 6 LOTTI DURATA 4 ANNI;Riqualificazione urbana;LAZIO;ROMA;ROMA;40000000.0;AZIENDA TERRITORIALE PER L'EDILIZIA RESIDENZIALE PUBBLICA DEL COMUNE DI ROMA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G82D22002880005
100;H51J24001420001;INTERVENTI STRUTTURALI SUL RETICOLO PRINCIPALE E SECONDARIO DEL DISTRETTO DELL'APPENNINO SETTENTRIONALE - LOTTI FUNZIONALI;Ambiente / rifiuti / depurazione;TOSCANA;TUTTE;TUTTI;40000000.0;AUTORITÀ DI BACINO DISTRETTUALE DELL'APPENNINO SETTENTRIONALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H51J24001420001
100;D62E22001450006;COMUNI DELLA MEDIA  ALTA VALLE DEL TORRENTE SENTINO;Ambiente / rifiuti / depurazione;MARCHE;ANCONA;BELVEDERE OSTRENSE;40000000.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D62E22001450006
100;J81B23001000004;PROGRAMMA DEGLI INTERVENTI DI AMMODERNAMENTO E MANUTENZIONE STRAORDINARIA DEGLI IMPIANTI DI ILLUMINAZIONE PUBBLICA;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;40000000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J81B23001000004
100;F21B03000350001;"S.S. N. 73 BIS DI BOCCA TRABARIA: COSTRUZIONE DELLA BRETELLA DI URBINO DA BIVIO BORZAGA A LOC. LE CONCE, II LOTTO; SOLUZIONE SVINCOLO DI FERMIGNANO E TRATTO TRA IL KM. 1+967,30 E LOC. LE CONCE.";Infrastrutture / parcheggi;MARCHE;PESARO E URBINO;FERMIGNANO;39914120.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F21B03000350001
100;F11B96000040001;S.S. N. 3 VIA FALMINIA, VARIANTE DI FOLIGNO, TRA SVINCOLI DI SANT'ERACLIO E CON S.S. N. 75 CENTRALE UMBRA: ADEGUAMENTO DEL CORPO STRADALE, COMPRESA LA REALIZZAZIONE DELLA BRETELLA CON LA S.S. N. 77.;Infrastrutture / parcheggi;UMBRIA;PERUGIA;FOLIGNO;39867344.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F11B96000040001
100;F16E11000540005;PROGETTO PER LA SOSTITUZIONE DELLA PAVIMENTAZIONE ESISTENTE NEL PERCORSO PEDONALE TRA PONTE ROMANO E PONTE GIOVANNI XIII NEL COMUNE DI RIETI E MANUTENZIONE DEL PONTE ROMANO.;Infrastrutture / parcheggi;LAZIO;RIETI;RIETI;39854400.0;COMUNE DI RIETI - RI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F16E11000540005
100;F11B03000350001;S.S. N. 219 VAR DI GUBBIO E PIAN D'ASSINO, DIRETTRICE PERUGIA ANCONA, TRA LOC. BRANCA (INNESTO S.S. N. 318) E FOSSATO DI VICO (S.S. N. 76): REALIZZAZIONE.;Infrastrutture / parcheggi;UMBRIA;PERUGIA;FOSSATO DI VICO;39802230.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F11B03000350001
100;G11H07000020006;FORMAZIONE DEL PIANO PARTICOLAREGGIATO PER IL RECUPERO DEL CENTRO STORICO;Scuole / formazione;LAZIO;FROSINONE;SAN DONATO VAL DI COMINO;39698000.0;COMUNE DI SAN DONATO VAL DI COMINO - FROSINONE -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/G11H07000020006
100;F37J22000010007;DIGITALIZZAZIONE DELLE RETI ED ALLA RIDUZIONE DELLE PERDITE IDRICHE  CONFERENZA TERRITORIALE N°2  TOSCANA;Ambiente / rifiuti / depurazione;TOSCANA;PISA;VICOPISANO;39690842.0;ACQUE SPA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F37J22000010007
